motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
HMX1_1.motif	95	87	Not-Overlapped	NA	NA	0.254925070067918	NA	NA	NA	NA	NA	NA	NA	NA
HMX2_1.motif	292	275	Not-Overlapped	NA	NA	0.0543284580239423	NA	NA	NA	NA	NA	NA	NA	NA
HMX3_1.motif	338	300	Not-Overlapped	NA	NA	0.456140136978341	NA	NA	NA	NA	NA	NA	NA	NA
HNF1A_1.motif	0	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
HNF1B_1.motif	1	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
HNF4A_1.motif	4	4	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
HNF4A_2.motif	12	4	Not-Overlapped	NA	NA	0.273824992390793	NA	NA	NA	NA	NA	NA	NA	NA
HNF4G_1.motif	20	6	Not-Overlapped	NA	NA	0.27962023032499	NA	NA	NA	NA	NA	NA	NA	NA
HOMEZ_1.motif	0	5	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
HOXA10_1.motif	202	149	Not-Overlapped	NA	NA	0.702951657148121	NA	NA	NA	NA	NA	NA	NA	NA
HOXA11_1.motif	836	753	Not-Overlapped	NA	NA	0.998486657386375	NA	NA	NA	NA	NA	NA	NA	NA
HOXA1_1.motif	441	388	Not-Overlapped	NA	NA	0.998765901959133	NA	NA	NA	NA	NA	NA	NA	NA
HOXA13_1.motif	84	81	Not-Overlapped	NA	NA	0.482572513159607	NA	NA	NA	NA	NA	NA	NA	NA
HOXA13_2.motif	5	10	Not-Overlapped	NA	NA	0.291979135532724	NA	NA	NA	NA	NA	NA	NA	NA
HOXA2_1.motif	686	580	Not-Overlapped	NA	NA	0.99894970026889	NA	NA	NA	NA	NA	NA	NA	NA
HOXA3_1.motif	401	408	Not-Overlapped	NA	NA	0.934184656413064	NA	NA	NA	NA	NA	NA	NA	NA
HOXA5_2.motif	110	78	Not-Overlapped	NA	NA	0.400365329783508	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_10.motif	13	11	Not-Overlapped	NA	NA	0.295241472242587	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_13.motif	2047	1854	Not-Overlapped	NA	NA	0.442677792068893	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_1.motif	1875	1667	Not-Overlapped	NA	NA	0.999966694702792	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_2.motif	1519	1335	Not-Overlapped	NA	NA	0.999997953924096	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_3.motif	6694	6470	Not-Overlapped	NA	NA	0.999999999982714	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_4.motif	1359	1150	Not-Overlapped	NA	NA	0.765089776941266	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_5.motif	1705	1754	Not-Overlapped	NA	NA	0.999966694702792	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_7.motif	117	121	Not-Overlapped	NA	NA	0.686698439641806	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_8.motif	418	310	Not-Overlapped	NA	NA	0.355262991300438	NA	NA	NA	NA	NA	NA	NA	NA
HOXA6_9.motif	237	164	Not-Overlapped	NA	NA	0.686698439641806	NA	NA	NA	NA	NA	NA	NA	NA
AHR_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
AIRE_1.motif	6	3	Not-Overlapped	NA	NA	0.272413523357851	NA	NA	NA	NA	NA	NA	NA	NA
ALX1_2.motif	29	31	Not-Overlapped	NA	NA	0.618743906552252	NA	NA	NA	NA	NA	NA	NA	NA
ALX3_1.motif	945	850	Not-Overlapped	NA	NA	0.999920125239407	NA	NA	NA	NA	NA	NA	NA	NA
ALX3_2.motif	46	38	Not-Overlapped	NA	NA	0.656347127392444	NA	NA	NA	NA	NA	NA	NA	NA
ALX4_1.motif	49	42	Not-Overlapped	NA	NA	0.656347127392444	NA	NA	NA	NA	NA	NA	NA	NA
AR_1.motif	6	9	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
ARID2_1.motif	177	150	Not-Overlapped	NA	NA	0.54272017110426	NA	NA	NA	NA	NA	NA	NA	NA
ARID3A_2.motif	546	415	Not-Overlapped	NA	NA	0.34847936463769	NA	NA	NA	NA	NA	NA	NA	NA
ARID3B_1.motif	2328	2040	Not-Overlapped	NA	NA	0.59526050070982	NA	NA	NA	NA	NA	NA	NA	NA
ARID3B_2.motif	641	505	Not-Overlapped	NA	NA	0.00565890302458755	NA	NA	NA	NA	NA	NA	NA	NA
ARID5A_1.motif	1035	1021	Not-Overlapped	NA	NA	0.588552274819041	NA	NA	NA	NA	NA	NA	NA	NA
ARID5B_1.motif	1	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
ARNT_1.motif	51	104	Not-Overlapped	NA	NA	0.444102718751454	NA	NA	NA	NA	NA	NA	NA	NA
ARNT2_1.motif	36	38	Not-Overlapped	NA	NA	0.618743906552252	NA	NA	NA	NA	NA	NA	NA	NA
ARNT_2.motif	357	509	Not-Overlapped	NA	NA	0.999477741949967	NA	NA	NA	NA	NA	NA	NA	NA
ARNTL_1.motif	5	2	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
ARNTL2_1.motif	29	35	Not-Overlapped	NA	NA	0.328249835598901	NA	NA	NA	NA	NA	NA	NA	NA
ARX_1.motif	31	25	Not-Overlapped	NA	NA	0.310871903126018	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2_1.motif	85	70	Not-Overlapped	NA	NA	0.479956613901726	NA	NA	NA	NA	NA	NA	NA	NA
ATF1_1.motif	12	11	Not-Overlapped	NA	NA	0.288788106729088	NA	NA	NA	NA	NA	NA	NA	NA
ATF2_1.motif	2	4	Not-Overlapped	NA	NA	0.269633793527669	NA	NA	NA	NA	NA	NA	NA	NA
ATF3_1.motif	7	6	Not-Overlapped	NA	NA	0.276692269798026	NA	NA	NA	NA	NA	NA	NA	NA
ATF4_1.motif	0	2	Not-Overlapped	NA	NA	0.269633793527669	NA	NA	NA	NA	NA	NA	NA	NA
ATF5_1.motif	42	37	Not-Overlapped	NA	NA	0.394389727846441	NA	NA	NA	NA	NA	NA	NA	NA
ATF6_1.motif	0	5	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
ATF7_1.motif	6	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ATOH1_1.motif	105	141	Not-Overlapped	NA	NA	0.96926496768231	NA	NA	NA	NA	NA	NA	NA	NA
